attempt_id,inv_at,attempt_end,attempt_start, day_diff ,attempt_time,attempt_ct,out_of_window_seconds,network_disconnect_seconds,window_exit_ct,copy_paste_ct,q1-time_taken,q2-time_taken,q3-time_taken,q4-time_taken,q5-time_taken,q6-time_taken,q7-time_taken,q8-time_taken,q9-time_taken,q10-time_taken,q11-time_taken,q12-time_taken,q13-time_taken,q14-time_taken,q13-testcase_passed,q14-testcase_passed,q2-testcase_time,q3-testcase_time,q4-testcase_time,q5-testcase_time,q6-testcase_time,q7-testcase_time,q8-testcase_time,q9-testcase_time,q10-testcase_time,q11-testcase_time,q12-testcase_time,q13-testcase_time,q14-testcase_time,score_pct,pass
45697042,4/10/2040 14:30,5/27/2030 16:29,6/19/2029 9:06, 342.00 ,118209,1,104605,59658,35,6,1013,723,45649,208,219,1411,256,2421,313,267,529,399,10,10,0.031406,0.033562,0.030572,0.031983,0.028748,0.030422,0.033728,0.035155,0.034521,0.032966,0.038768,0.044457,0.036569,0.034521,0.032966,0.99,1
45697178,3/19/2040 16:07,5/7/2030 14:51,6/1/2029 15:53, 340.00 ,198251,1,6344,87867,16,49,818,1978,1802,9669,995,2966,3067,412,1041,646,62475,11058,14,14,0.031648,0.031584,0.032708,0.042401,0.032072,0.041947,0.033189,0.031864,0.034219,0.033834,0.039689,0.047495,0.043258,0.033834,0.039689,0.99,1
45697066,2/26/2040 17:44,4/17/2030 13:13,5/14/2029 22:40, 338.00 ,202941,1,8619,113154,35,0,3340,30314,12210,22078,5927,2230,2344,2087,542,2117,670,1054,10,10,0.03223,0.032183,0.029815,0.169977,0.032831,0.033345,0.037536,0.030909,0.045527,0.040788,0.038184,0.040404,0.043011,0.045527,0.040788,0.99,1
45697182,2/4/2040 19:21,3/28/2030 11:35,4/27/2029 5:27, 335.00 ,112078,1,22354,2305,34,7,404,970,1274,1741,800,1388,1563,15421,3952,695,78838,1088,5,10,0.026557,0.029947,0.040285,0.165275,0.02908,0.033736,0.033152,0.030822,0.039235,0.038203,0.040126,0.041993,0.033885,0.038203,0.040126,0.99,1
45697234,1/13/2040 20:58,3/8/2030 9:57,4/9/2029 12:14, 333.00 ,202784,1,8509,132917,28,26,1411,2389,2940,55223,991,1421,462,430,316,398,524,543,10,10,0.036506,0.032605,0.039025,0.042694,0.03568,0.0345,0.037966,0.032792,0.033988,0.041231,0.038007,0.040862,0.034738,0.041231,0.038007,0.99,1
45697328,12/22/2039 22:35,2/16/2030 8:19,3/22/2029 19:01, 331.00 ,209615,1,8424,185375,5,0,2683,826,1437,405,368,616,323,552,309,841,1204,2772,9,11,0.03077,0.044432,0.031103,0.045128,0.031466,0.03813,0.034032,0.033107,0.032613,0.043492,0.034414,0.041062,0.035278,0.043492,0.034414,0.99,1
45697022,12/1/2039 0:12,12/18/2029 3:25,1/28/2029 15:22, 324.00 ,111072,1,19985,51388,20,0,370,739,278,1096,725,2275,624,427,14341,441,23941,12552,9,10,0.028039,0.029343,0.030634,0.038693,0.044874,0.031569,0.035163,0.034132,0.037972,0.040876,0.038879,0.040489,0.03727,0.037972,0.040876,0.99,1
45697046,11/9/2039 1:49,11/8/2029 0:09,12/24/2028 4:56, 319.00 ,201472,1,8821,138016,55,0,3139,3932,996,13448,1491,4150,27461,1068,318,507,1763,1372,10,10,0.041814,0.034416,0.034608,0.034003,0.034224,0.032855,0.052564,0.037032,0.031829,0.036115,0.035864,0.039631,0.058634,0.036115,0.035864,0.99,1
45697060,10/18/2039 3:26,10/18/2029 22:31,12/6/2028 11:43, 316.00 ,201160,1,2645,181228,15,10,1277,2344,3027,4132,176,1063,670,662,370,370,1248,1221,9,9,0.029301,0.031572,0.03271,0.033913,0.034455,0.031116,0.037039,0.031962,0.031893,0.033192,0.047632,0.045049,0.033486,0.033192,0.047632,0.99,1
45697198,9/26/2039 5:03,9/28/2029 20:53,11/18/2028 18:30, 314.00 ,114594,1,0,67693,0,3,309,473,375,2369,1666,2555,2652,298,7661,19528,1238,1368,8,9,0.033196,0.028235,0.032875,0.029218,0.033328,0.035159,0.035734,0.031805,0.036256,0.032722,0.034474,0.048922,0.033084,0.032722,0.034474,0.99,1
